id,age,income,gender,region,purchases,segment
1,22,35786,Male,East,6,0
2,53,25058,Male,North,3,0
3,59,27323,Male,North,8,2
4,54,82560,Male,North,4,0
5,66,95015,Male,West,5,1
6,35,66177,Female,West,2,1
7,24,77706,Female,North,6,0
8,36,36933,Male,North,10,1
9,68,86244,Male,West,1,0
10,30,40657,Female,West,4,1
11,30,66086,Male,West,8,1
12,48,52114,Male,North,4,0
13,28,90126,Male,East,6,2
14,49,92676,Male,South,10,1
15,18,43261,Male,North,4,1
16,54,24584,Male,South,4,0
17,18,40876,Male,North,5,0
18,36,68989,Male,West,7,2
19,37,101743,Female,South,6,2
20,65,73967,Male,East,5,2
21,36,31066,Female,North,3,1
22,23,72623,Male,East,3,0
23,43,48351,Male,East,4,1
24,23,100401,Female,South,9,1
25,19,76489,Male,South,4,2
26,35,58399,Female,East,4,0
27,62,98043,Female,East,5,1
28,59,113336,Male,North,7,0
29,29,59537,Male,North,3,2
30,67,70543,Female,West,7,0
31,19,40454,Female,West,3,0
32,35,89783,Female,West,8,1
33,40,110193,Male,North,7,1
34,25,36038,Male,West,2,1
35,47,85890,Male,East,2,2
36,19,51702,Female,South,1,1
37,61,33156,Male,North,0,2
38,45,20234,Female,North,2,1
39,65,61887,Female,North,4,2
40,62,20374,Female,East,5,1
41,20,116413,Female,South,4,0
42,26,71810,Male,South,5,2
43,23,79511,Female,North,4,0
44,67,77741,Female,West,5,0
45,49,56350,Female,East,5,0
46,66,53719,Male,East,0,0
47,32,42686,Female,East,11,2
48,57,54156,Male,East,2,0
49,26,92702,Male,West,3,1
50,23,104390,Female,East,4,1
51,46,46356,Female,North,4,1
52,51,27626,Female,West,6,1
53,40,35895,Male,South,5,0
54,42,88241,Female,East,5,1
55,67,38613,Female,North,9,0
56,45,23308,Female,North,6,0
57,40,27003,Female,East,4,2
58,61,102756,Male,South,3,2
59,44,43159,Male,South,3,1
60,48,117775,Female,North,4,1
61,40,86982,Female,West,1,1
62,56,31318,Female,North,5,2
63,19,34800,Male,North,3,0
64,45,38948,Male,South,3,2
65,26,71586,Female,South,5,1
66,36,67362,Female,East,4,0
67,24,108116,Male,West,9,2
68,25,58346,Male,North,3,0
69,24,61273,Female,North,3,0
70,69,107129,Male,East,4,1
71,31,58701,Male,North,4,2
72,63,43293,Male,North,2,1
73,34,119511,Male,North,1,0
74,62,48080,Male,East,7,2
75,46,65088,Male,North,4,2
76,41,83056,Male,North,4,0
77,32,83336,Female,North,2,1
78,58,26487,Male,North,6,0
79,36,48190,Female,East,7,0
80,59,110178,Female,West,9,2
81,25,113595,Female,North,8,0
82,56,92964,Male,West,10,2
83,49,45890,Male,North,3,0
84,20,117029,Male,East,2,2
85,18,59585,Female,South,3,1
86,58,110975,Female,West,4,1
87,21,54554,Male,West,3,2
88,66,61126,Male,East,6,0
89,40,114657,Male,East,10,2
90,18,114592,Male,East,6,0
91,43,96602,Male,North,6,2
92,28,102455,Male,South,9,2
93,47,89163,Female,South,4,1
94,65,46465,Male,East,4,1
95,63,62428,Female,South,5,2
96,49,117964,Male,West,2,1
97,55,74409,Female,North,7,1
98,23,81425,Male,West,3,0
99,53,40275,Male,West,2,0
100,53,71715,Female,North,5,0
101,27,40674,Female,South,8,0
102,34,72835,Male,West,4,1
103,47,63150,Male,North,6,2
104,38,25863,Female,West,6,0
105,30,73870,Male,North,7,0
106,23,45874,Male,West,1,1
107,32,108164,Male,West,4,2
108,39,34771,Male,North,3,1
109,64,116348,Male,North,4,2
110,47,72027,Male,South,7,0
111,25,28700,Male,East,4,1
112,58,91751,Male,North,2,1
113,68,95457,Male,East,3,2
114,34,111919,Female,North,3,1
115,64,118752,Male,East,9,1
116,38,88417,Female,West,4,2
117,39,60619,Male,North,5,2
118,57,39450,Female,West,8,2
119,51,46683,Female,West,1,1
120,43,25823,Female,South,4,1
121,30,94357,Male,West,1,1
122,57,36502,Female,West,2,0
123,52,77203,Male,West,11,0
124,38,108316,Female,South,4,1
125,41,59974,Female,North,2,0
126,65,29625,Male,South,5,2
127,25,45521,Female,East,3,1
128,40,21023,Female,West,3,0
129,44,110624,Male,North,0,2
130,59,101054,Female,West,3,2
131,63,97487,Female,North,9,2
132,54,88249,Male,South,4,2
133,24,118035,Male,West,7,0
134,26,49439,Female,North,8,1
135,42,40408,Female,South,3,0
136,42,57137,Male,South,6,1
137,23,62823,Female,South,6,2
138,64,21969,Male,South,2,0
139,64,62676,Male,West,8,0
140,59,24289,Male,South,6,1
141,19,98893,Female,West,9,0
142,58,93278,Male,North,5,0
143,45,26723,Male,West,9,1
144,50,82213,Male,East,4,2
145,50,89273,Female,North,3,2
146,27,24980,Female,South,3,1
147,63,40110,Female,East,5,0
148,58,37907,Female,West,7,1
149,30,98713,Male,South,2,0
150,44,98850,Male,West,1,1
151,20,22512,Female,South,9,2
152,66,119724,Female,East,7,2
153,53,57192,Male,South,4,0
154,59,115708,Male,North,6,2
155,66,117416,Female,West,1,0
156,43,107584,Female,West,10,2
157,55,104141,Male,West,4,1
158,61,24531,Male,West,6,2
159,19,109886,Male,East,3,0
160,39,60433,Female,West,5,1
161,48,80731,Female,North,4,1
162,47,98459,Male,West,4,1
163,22,113242,Female,South,5,0
164,60,60975,Male,North,5,1
165,56,103190,Female,North,4,0
166,41,95302,Female,East,5,1
167,31,39392,Female,North,9,0
168,47,78219,Female,North,6,1
169,66,52977,Female,North,5,0
170,29,76633,Female,East,7,0
171,40,98007,Male,East,9,2
172,47,23938,Male,South,5,0
173,54,29991,Male,East,3,1
174,67,86028,Male,East,5,0
175,33,62419,Male,West,9,0
176,55,20521,Female,East,4,0
177,48,108755,Female,East,6,1
178,64,73596,Male,West,6,1
179,52,27840,Male,East,7,0
180,54,118337,Female,North,8,2
181,55,65701,Female,West,7,2
182,36,27767,Male,South,8,0
183,40,113004,Female,North,8,0
184,68,52726,Male,North,6,0
185,21,67601,Male,East,5,0
186,30,54583,Female,South,4,1
187,53,30211,Male,North,9,0
188,40,55924,Female,East,4,0
189,46,36329,Male,East,4,0
190,64,69162,Male,North,10,0
191,51,96994,Male,South,6,2
192,21,104630,Female,West,1,0
193,24,80155,Female,West,6,1
194,44,103415,Male,South,4,2
195,66,118163,Female,South,2,1
196,18,56435,Female,South,4,2
197,69,21192,Male,East,2,1
198,46,114849,Female,North,3,1
199,41,79459,Male,South,6,1
200,51,94398,Male,South,2,2
201,46,79690,Female,West,3,0
202,63,32622,Female,East,3,2
203,33,82742,Male,North,6,1
204,40,84281,Female,North,7,1
205,24,39879,Female,West,7,0
206,18,33861,Female,South,6,0
207,47,39844,Female,South,6,0
208,22,61795,Female,East,3,1
209,40,64200,Female,West,3,0
210,66,43425,Female,North,3,0
211,58,98195,Male,West,8,0
212,39,20164,Male,East,4,2
213,67,35962,Male,West,3,1
214,56,37522,Male,South,3,2
215,40,22749,Female,East,7,0
216,49,39973,Female,South,5,0
217,25,104859,Male,North,6,0
218,49,81907,Female,South,5,1
219,30,78116,Female,South,7,0
220,68,100757,Male,North,4,1
221,59,70354,Male,West,6,2
222,68,77213,Female,East,4,2
223,59,38776,Female,East,3,1
224,50,22959,Female,South,4,2
225,21,53644,Female,East,9,2
226,27,37816,Male,West,6,1
227,62,28118,Male,West,3,1
228,52,96843,Male,South,4,2
229,69,78916,Male,North,6,1
230,42,41661,Female,South,3,0
231,49,108381,Female,South,5,0
232,59,76011,Female,East,3,2
233,62,115590,Female,South,3,2
234,61,33702,Male,West,2,0
235,54,118373,Male,North,6,0
236,50,49019,Male,North,7,1
237,53,74280,Male,North,2,0
238,30,90490,Male,East,4,1
239,59,31400,Female,West,3,1
240,68,93561,Male,East,2,1
241,27,76056,Female,South,2,1
242,39,34664,Female,South,5,0
243,69,35216,Male,South,4,2
244,54,75298,Male,North,4,0
245,34,53061,Female,South,6,2
246,52,104737,Female,South,6,1
247,46,88105,Male,North,7,0
248,69,77114,Male,North,10,1
249,58,78471,Male,West,2,0
250,27,90778,Male,North,2,1
251,45,118738,Male,East,2,0
252,59,38938,Male,South,7,1
253,61,40766,Male,West,6,0
254,59,60657,Male,North,4,1
255,23,79026,Female,West,7,2
256,43,42464,Female,South,7,2
257,20,50568,Female,North,4,1
258,65,25583,Female,West,7,1
259,27,48636,Female,South,7,2
260,23,43640,Female,West,2,2
261,28,60680,Male,East,4,1
262,66,31338,Female,West,9,2
263,32,37070,Male,North,5,0
264,25,104658,Female,West,7,0
265,27,116294,Male,South,3,0
266,66,28939,Male,East,4,1
267,69,119969,Male,South,2,0
268,59,118670,Female,North,3,2
269,33,105785,Female,East,7,1
270,51,41306,Male,South,7,0
271,31,59316,Male,South,8,2
272,23,100668,Male,West,5,1
273,34,21961,Male,West,6,1
274,39,104656,Female,West,8,1
275,37,46176,Female,West,3,2
276,67,115092,Female,East,1,0
277,44,109638,Male,South,6,1
278,63,48467,Male,North,5,0
279,56,43927,Male,North,5,1
280,31,104107,Male,North,6,2
281,53,101900,Male,West,7,1
282,33,20753,Female,West,1,0
283,26,116557,Male,North,5,0
284,37,81271,Male,West,4,2
285,52,86174,Male,South,4,1
286,58,63893,Male,North,2,1
287,29,68266,Female,West,8,1
288,64,29263,Male,South,7,2
289,28,26440,Male,West,4,0
290,34,40462,Male,North,4,0
291,22,94466,Female,East,7,1
292,27,25685,Female,West,7,1
293,66,26078,Male,North,2,2
294,68,92003,Female,North,9,0
295,66,116005,Female,East,5,1
296,69,101333,Female,North,8,0
297,62,93350,Male,East,3,1
298,41,23700,Female,North,5,2
299,27,38192,Male,West,8,0
300,24,39768,Male,South,4,0
301,60,117106,Female,South,6,2
302,20,114927,Male,West,10,0
303,38,90313,Male,East,6,1
304,53,82661,Male,East,8,1
305,28,39630,Male,South,6,0
306,38,73129,Female,West,3,0
307,53,59797,Female,East,8,0
308,24,113254,Female,South,4,2
309,50,41021,Male,East,6,2
310,68,20678,Male,South,8,0
311,48,107883,Male,East,3,1
312,35,118025,Female,East,6,1
313,60,90775,Male,East,5,2
314,34,41398,Female,North,3,1
315,54,115883,Male,East,3,1
316,29,104338,Female,East,3,2
317,43,77953,Female,West,6,1
318,52,96356,Male,North,9,0
319,59,76876,Male,North,7,2
320,41,69492,Female,West,7,2
321,35,97998,Female,South,7,1
322,58,63671,Male,North,4,0
323,46,53883,Male,North,6,0
324,29,52038,Female,North,2,1
325,56,90640,Female,East,6,1
326,25,104621,Male,North,4,1
327,62,51418,Female,West,6,0
328,28,119711,Male,South,7,0
329,27,87031,Male,East,4,2
330,53,77933,Male,South,6,1
331,47,84358,Female,North,4,0
332,42,101412,Female,North,4,0
333,62,34073,Male,South,3,1
334,42,102451,Female,North,4,1
335,26,87025,Male,West,4,0
336,63,34165,Male,South,3,0
337,51,65889,Female,East,4,2
338,49,22106,Female,East,4,2
339,33,47213,Female,West,4,2
340,68,74155,Female,North,9,1
341,62,68506,Male,South,4,1
342,25,55742,Female,West,3,0
343,19,40685,Female,West,4,0
344,33,76425,Male,South,8,1
345,43,103510,Male,East,5,1
346,35,70622,Male,West,8,2
347,21,60511,Female,West,3,1
348,44,84638,Female,South,6,0
349,18,95095,Male,North,4,0
350,53,59184,Male,North,5,1
351,50,97786,Female,South,5,1
352,27,56137,Male,West,5,0
353,64,51220,Male,East,6,1
354,38,89598,Female,North,5,0
355,41,48799,Female,West,7,1
356,33,72923,Male,West,5,0
357,25,36445,Female,South,3,2
358,37,97517,Female,West,10,0
359,34,52252,Male,South,3,0
360,48,55073,Female,South,7,2
361,52,90584,Female,North,4,0
362,32,95729,Male,East,7,2
363,32,99182,Female,South,6,2
364,28,113691,Male,North,7,0
365,68,60016,Male,North,3,0
366,57,29502,Male,South,2,1
367,26,33132,Female,East,2,0
368,55,66457,Female,East,5,1
369,59,23960,Female,South,3,1
370,23,66790,Female,East,5,1
371,20,39868,Male,North,5,2
372,65,25721,Female,South,11,1
373,62,89836,Male,South,6,1
374,30,58165,Female,North,3,1
375,63,85202,Male,South,5,0
376,39,22450,Male,West,6,0
377,19,110474,Female,West,0,0
378,49,99034,Male,West,4,2
379,57,39712,Female,West,5,1
380,30,94988,Male,East,3,0
381,35,108005,Female,West,3,1
382,38,54148,Male,South,6,0
383,20,61084,Female,West,7,0
384,33,53770,Male,North,6,0
385,47,71328,Female,East,4,0
386,55,111478,Male,East,7,0
387,46,21323,Male,North,7,2
388,53,46967,Male,North,5,1
389,25,33027,Female,South,4,2
390,40,77938,Male,West,3,0
391,42,70495,Female,South,9,1
392,32,81819,Female,East,1,1
393,58,77961,Female,West,4,1
394,48,39849,Female,West,5,1
395,36,30649,Female,West,4,1
396,39,103657,Male,South,4,2
397,30,104326,Male,West,3,0
398,64,30010,Female,North,4,0
399,43,79704,Female,South,4,2
400,69,62184,Female,West,6,0
401,33,56242,Male,East,4,0
402,51,41905,Male,South,7,2
403,20,35936,Female,West,6,0
404,32,76430,Male,South,8,1
405,50,76554,Female,North,4,2
406,48,51084,Male,West,6,1
407,41,78639,Female,North,7,1
408,47,34734,Male,East,5,0
409,47,50430,Female,South,4,2
